title;sentiment_ml_finance
Wadirut Bank Mandiri Sebut Bisnis Perbankan RI Tetap Prospektif, Ini Alasannya;2
Bank Mandiri Jaga Pertumbuhan Aset Pakai Strategi Ini;1
Investor Waspadalah! Daya Beli Warga RI dalam Bahaya-Asing Ramai Kabur;0
OJK Cabut Izin BPR Kencana Cimahi!;1
Ramai-Ramai Asing Kabur ke China, Dana Rp 10 T  Kabur dari RI;0
Seluruh Target Ekonomi RI di 2024 Meleset;1
Kemenperin Ungkap Alasan Selamatkan Sritex, Singgung Bangkrutnya Texmaco;0
Bagaimana Generasi Sandwich Siapkan Duit Beli Rumah? Begini Hasil Surveynya;1
IHSG Ditutup Naik 0,81% ke 7.356, Bursa Tokyo melonjak 1.168 Poin;2
IHSG Hari Ini Ditutup Menguat Dekati 7.800;2
Trump Umumkan Darurat Energi. Begini Dampaknya ke RI!;0
Pemerintah Mau Bikin Konsorsium Credit Scoring, Ini Fungsinya;1
Pangsa Pasar Perbankan Syariah Naik, BSI Kuasai 40% Lebih;2
Zulhas Terbitkan Izin Impor Bawang Putih 300 Ribu Ton, Kok Harga Masih Mahal?;0
Bank DKI Salurkan Kredit Rp 53,18 T, Segmen UMKM Jadi Pendorong;2
IHSG Hari Ini Dibuka di Dua Arah, Bursa Asia Berguguran;0
Dolar Tembus Rp16.300, Ini Sebenarnya yang Terjadi Pada Rupiah!;0
Analisis Penyebab IHSG Ambruk Hingga 3% Lebih;0
Kemenangan Donald Trump Bisa Jadi Ujian buat Ekonomi RI;2
IHSG Menguat Pagi Ini di Level 7.807;2
Bank Banten (BEKS) Targetkan NPL di Bawah 5% Di 2025;1
Bos BI Pede Dolar AS di Bawah Rp 16.000, Ini Alasannya;0
Pengumuman! Harga BBM Pertamina Juni Tidak Naik;2
Podcast: Menolak Nostalgia Dolar AS Balik ke Rp 17.000;0
Pelaku Industri Kimia RI Dihantui Resesi Global, Bagaimana Siasatnya?;0
Bank Panas Dingin Perang Berebut Likuiditas;1
Simak! Rekomendasi Saham Akhir Pekan;1
Sri Mulyani Bawa Kabar Buruk Usai Balik dari Pertemuan G20 di Brasil;0
Survei BI: Kegiatan Usaha Melesat di Kuartal I 2024;2
IHSG Diproyeksi Bakal Tancap Gas, Pantau 5 Rekomendasi Saham Potensial Cuan;1
Geliat Ekonomi 100 Hari Prabowo-Gibran, Puas?;2
Sempat Heboh di Level Rp 8.000-an, Begini Ramalan Dolar AS Pekan Depan;0
Rupiah Keok Jelang Natal, Dolar Naik Tipis ke Rp16.185;2
PR Besar Pram-Rano di Sektor Transportasi Jakarta;1
IHSG Pagi Ini Bergerak ke Zona Merah di Level 6.907;1
EDITORIAL: IHSG dan Fenomena DeepSeek;1
Holding Ultra Mikro Pastikan Tak Ada Kenaikan Bunga Kredit;0
Dolar AS Tembus Rp 16 Ribu, Airlangga: Nggak Perlu Terlalu Baper;2
Sri Mulyani Bawa Kabar Baik: Ekonomi Dunia Membaik, tapi Inflasi Masih Tinggi;2
IHSG Dibuka Menguat di 7.227,84;2
Transformasi Merek SMBC Indonesia, Jadi Nilai Tambah Bagi Konsumen;2
Dirut Optimistis Kinerja Positif BRI Terus Berlanjut;2
Asing Gila-Gilaan Masuk Ke RI, Inflow Tembus Rekor Tertinggi Tahun Ini;2
Pj Gubernur Lampung Paparkan Berbagai Capaian Pembangunan Selama 2024;1
Hal Penting Sebelum Melakukan Swing Trading dengan XTRA Trade Limit Ajaib;1
Dolar AS Masih Perkasa di Rp 16.300-an;0
Melempem! IHSG Hari Ini Ditutup Merosot ke 7.296;0
Top! IHSG Ditutup Balik Menguat ke 7.236;0
Iran dan Israel Memanas, Menperin Blak-blakan Dampaknya ke Industri;0
Menuju Puncak Rangkaian Pilkada Serentak;1
IHSG Ditutup di Zona Merah;1
Awal Pekan IHSG Nyungsep di Zona Merah;1
IHSG Terjun ke Zona Merah Saat Pembukaan ke Level 7.486;1
Dolar AS Hari Ini Lengser dari Rp 16.000;1
BI Bujuk Investor China Genjot Investasi di RI;2
IHSG Dibuka di Zona Merah;1
Konflik Iran-Israel Bikin Rupiah Terjungkal, BI Langsung Turun Tangan;0
Simak Daftar Kurs Rupiah di 5 Bank Besar di Indonesia;1
OJK Buka Suara Soal Kabar Dua Bank Digital Mau IPO;1
Zimbabwe Tak Selemah Itu, Rp10 Juta Cuma Dapat Segini;1
Bikin IHSG Ambruk, Analis Beberkan Alasan Asing Banyak Jual Saham Bank;0
Dolar AS Lanjutkan Penguatan, Bagaimana Proyeksi Nilai Tukar Rupiah Awal Pekan?;0
Dibuka Memerah, IHSG Diprediksi Bergerak Cenderung Melemah-Dampak dari Profit Taking Saham Big Banks;0
Nasib KIM Plus Hingga Kejutan Pramono Anung dan Riza Patria;1
IHSG Ditutup di Zona Merah, Turun ke Level 7.245;0
Bos OJK Yakin Dunia Terhindar Resesi, tapi Masih Ada yang Menghantui;0
BI Kasih Sinyal Turunkan Suku Bunga Acuan di Kuartal IV;0
Terkuak! Biang Kerok Banyak Pabrik di Jawa Barat Tutup;0
Video: Rp47 Triliun Dana Asing Kabur, Rupiah Nyaris Rp16.000 Per USD;1
Kurs Rupiah di 5 Bank Besar Indonesia Selasa 4 Februari 2025;1
Dolar AS Menguat ke Rp 15.764 di Awal Pekan;2
Konsisten Terapkan GCG, Bank Jatim Raih Penghargaan Annual Report Award;2
Memetakan Jatah Kursi Menteri dan Janji Zaken Kabinet;1
Pengembang-Perbankan Ungkap Masalah Pembangunan Rumah di RI;1
Waspada! Inilah 7 Alasan Bank Bisa Dicabut Izinnya dan Apa Dampaknya Bagi Keamanan Simpanan Anda;1
Proyek Rumah Mangkrak dan Dipingpong, Bisakah Saya Pidanakan Developer?;1
Bye-bye Dolar AS! BI Siapkan 3 Jurus Genjot Transaksi Mata Uang Lokal;1
Simak! Begini Ramalan IHSG Pekan Depan;1
Dorong Ekonomi Digital, Amar Bank Perkenalkan Solusi Embedded Banking;1
BI Sebut Transaksi Ekonomi dan Keuangan Digital RI Moncer;2
Video: Ricuh Trump 2.0,Penggalangan Dana di Pasar Modal Masih Menarik?;1
Pilpres 2024 dan Masa Depan Perpajakan;1
BREN Tiba-tiba Ambruk dan Sentuh ARB, Ada Apa?;1
Pengusaha Minta Hal Ini ke Pemerintah buat Hadapi Dampak Konflik Iran-Israel;1
Awal Pekan IHSG Dibuka Kebakaran;1
Suku Bunga Acuan BI Turun Menjadi 5,75 Persen;0
Google Jelaskan Duduk Perkara Dolar AS Mendadak Jadi Rp 8.170;2
Biro Kredit Swasta Dukung Pertumbuhan Kredit lewat Penguatan Inovasi;2
Pesta Cuan Bubar! Harga Emas Ambles, Trump Jadi Biang Kerok;0
IHSG Dibuka Menguat, tapi Langsung Lesu;0
BI Catat Uang Beredar September 2024 Capai Rp 9.044,9 Triliun;1
Sidang Sengketa MK & Ekonomi AS Masih Panas, IHSG-Rupiah Jadi Korban?;0
Top 5 News: Mobil Baru Mercedes hingga Arus Modal Asing Terus Keluar;0
IHSG Hari Ini Diprediksi Melemah Dibayangi Tensi Politik Jelang Pilkada;0
Tembok Baru Indonesia Bernama Maarten Paes!;1
BI Holds Optimism Amid IDR46.61 Trillion SBN Outflow;1
Penyebab Rupiah Melemah;0
Asing Diam-diam Lego 10 Saham Ini Kala IHSG Ambruk 5,16% Sepekan;0
Cemasnya Perajin Tahu Ciamis gegara Dolar AS Naik Terus;2
Penyaluran Kredit Anjlok 15,54%, Bank Neo (BBYB) Laba Rp4,06 M;0
Masih Sepi Peminat, Gedung Kantor di Jakarta Tak Ada Pasokan Baru;1
KB Bank Kembali Raih Peringkat AAA dari PEFINDO;2
Ini 6 BPR Syariah Terbaik Penopang Usaha Kecil Rakyat;1
Serangan Israel ke Rafah Jadi Biang Kerok Dolar AS Tembus Rp 16.200, Kok Bisa?;0
Tak Kunjung Laku, Begini Nasib Aset Tommy Soeharto;1
IHSG Berbalik Hijau, Asing Serbu Saham Ini;0
Bank Mandiri Perkuat Wholesale dan Kredit Berkelanjutan 2024;2
Awal Pekan, IHSG Dibuka Menguat ke Level 7.171;2
39 Bank Keroyokan Geber Program 3 Juta Rumah Prabowo;1
IHSG dan Rupiah Kompak Menghijau di Awal Sesi;0
IHSG Hari Ini Diramal Fluktuatif Menanti Pengumuman BI Rate;0
Hapus Postingan soal Ismail Haniyeh, Instagram Dikecam PM Malaysia;1
Video: Perkuat Perbankan, Mandat LPS Diperluas Setara LPS Negara Maju;1
Ini Dampak Serius Perang Iran & Israel ke Ekonomi RI;0
IHSG Merosot 5,87 Persen Selama Sepekan, Kapitalisasi Pasar Jadi Rp 11.595 Triliun;0
Genjot Penyaluran Kredit Digital, Laba Bank Raya (AGRO) Melonjak 115,9%;2
Mandiri Cetak Laba Terbesar Sepanjang Masa, Rp 55,1 T Sepanjang 2023;1
IHSG Dibuka di Zona Merah, Rupiah Melemah di Tengah Sentimen Global;0
MIF 2025 Bahas Strategi Investasi-Inovasi untuk Genjot Ekonomi Indonesia;1
BI Rate Sudah Dipangkas JadI 6%, Bisa Turun Lagi?;0
Senyum Sri Mulyani Cerah: Dana Asing Triliunan Rupiah Mulai Banjiri RI;2
Kuota Subsidi Rumah Murah Resmi Ditambah Jadi 200 Ribu Unit!;1
Seharian Kebakaran, IHSG Ditutup di Level 6.648;1
Kenaikan NPL KUR Jadi Tantangan Perbankan Tahun Ini;2
Prediksi Kondisi Bisnis Penerbangan RI Jelang Akhir Tahun;1
IHSG Dibuka di Zona Hijau, Naik ke Level 7.732;2
IHSG Hari Ini Dibuka Menguat Lagi, Begini Pergerakannya;2
Tenaga Rupiah Berkurang, Dolar AS Melemah Tipis;0
Hadirkan BigBox AI, Strategi Telkom-Microsoft Genjot Ekosistem Digital RI;2
Sempat Menguat, IHSG Balik Arah Ditutup di Zona Merah;0
Maybank Indonesia Cetak Laba Senilai Rp 562 Miliar;1
Mau Dipanggil KPPU soal Tiket Pesawat Mahal, Menhub: Kami Belum Diinformasikan;1
IHSG Hancur: Bagaimana Prospek Dividen Bank Mandiri - Indosat?;0
IHSG Rontok hingga ke Level 6.500-an, Kenapa Investor Pada Kabur?;0
Bos BI Ungkap Penyebab Derasnya Capital Outflow dari RI;0
Hari Bank Dunia 1 April, Simak Yuk Serba-Serbinya;1
Respons Negatif Investor Asing atas Program Makan Siang dan Menkeu Baru;0
Ingin Jadi Mitra Program 3 Juta Rumah, REI: Kok Kita Nggak Diajak?;1
Erick Thohir Puji Kinerja BSI Bisa Masuk Top 10 Bank Syariah Dunia;2
Daftar Saham LQ45 Terbaru: Emiten Sandiaga Uno Keluar, Jasa Marga Masuk;1
Kondisi Global Makin Ngeri, Wamenkeu: Suku Bunga The Fed Sulit Turun;0
Kondisi Keuangan Babak Belur, Izin Usaha Bank Ini Dicabut OJK;1
Rupiah Terus Dihantam Dolar AS, Ini Perbandingan dengan Mata Uang Negara Lain;0
Akhir Pekan IHSG Betah di Zona Hijau;1
Kondisi Global Suram, Sri Mulyani Beri Warning untuk Perbankan RI;0
IHSG Pagi Ini Dibuka di Zona Hijau;1
IHSG Ngegas, Dibuka di Zona Hijau!;1
IHSG Hari Ini Dibuka Melesat ke 7.266;2
Dolar AS Masih Gencet Rupiah, Naik ke Level Rp 16.375;2
Investor Pasang Kuda-Kuda! Perang Dagang AS-China Siap Dimulai;1
Historia Bisnis: Jumbo-Cap Stocks Hold Back IHSG from Surpassing 300;1
Mantap! Kuartal II 2024, Laba BRI Tembus Rp 29,9 Triliun;2
Pengusaha Usulkan Hal Ini ke Pemerintah buat Selamatkan Sritex;1
BI Rate Naik, Bunga Kredit Rumah Subsidi Bakal Terdampak? Ini Kata Basuki;2
Catatan DPRD untuk Pemprov soal Nasib Pertanian di Jawa Barat;1
IHSG Terjun ke Level 6.000-an, Saham Perbankan Rontok;0
Sederet Ambisi Besar Donald Trump untuk Kripto: Bitcoin Siap Terbang;1
Dolar AS Perkasa Lawan Rupiah di Rp 15.625;0
Bos BI Ingatkan Bank: Salurkan Kredit, Jangan Dikekepin!;1
Dolar AS Hari Ini Melemah ke Rp 16.193;0
Tukar Mata Uang di Jenius Bisa Tiap Hari, ke Luar Negeri Jadi Praktis;1
Lomba-lomba Cari Pasangan untuk Anies Baswedan;1
Presiden Jokowi Permudah Izin Konser, Minta Panpel Jangan Mepet Ngurusnya;1
Laba Tumbuh Dua Digit, Saham BBCA Tembus All Time High;2
Wacana Tax Amnesty di Tengah Badai PPN 12%;1
Asa 1 Juta Rumah di Penghujung Masa Jabatan Jokowi;1
Bunga Utang Pemerintah Naik Gegara Dolar AS Ngamuk, Ini Langkah Kemenkeu;2
Paksa Eksportir Simpan Dolar Lebih Lama di RI, Ampuh Buat Jaga Rupiah?;0
Bankir Yakin Pertumbuhan DPK Bakal Lebih Seret di Kuartal I-2025;2
RI & Singapura Resmi Perpanjang Perjanjian Bye Dolar AS;1
Tok! LPS Tahan Suku Bunga Penjaminan Tetap 4,25%;0
Termasuk Perang, Sri Mulyani Ungkap Alasan Dunia Kini Masih Gelap;1
Kredit UMKM Bank DKI Naik Jadi Rp 5,2 Triliun di Kuartal I-2024;2
20 Bank Tutup Sepanjang 2024, Ini Daftarnya;1
Dolar AS Keok, Rupiah Menguat ke Rp 15.300;2
"Trump ""Picu"" Perang Dagang, Ini Efeknya ke Rupiah Hingga Suku Bunga";0
Dijamin Askrindo-Jamkrindo, KUR Tak Termasuk Kredit UMKM yang Diputihkan;1
Masa Jabatan Bos LPS Habis September, Siapa Penggantinya?;1
RI Capai UHC Tercepat di Dunia, BPJS Kesehatan: Lebih Cepat dari Korsel;2
Dunia Gonjang-ganjing, BI: Kredit Bank Tumbuh 11%-13% Tahun Depan;2
Dolar Mendominasi, Masih Kokoh di Zona Rp 16.000;2
Penjualan Mobil Anjlok 26,1%, Ini yang Bikin Orang 'Ngerem' Beli Mobil;0
Bye Dolar AS, Transaksi Dagang RI dan Korsel Sepakat Pakai Mata Uang Lokal;1
Dolar AS Hari Ini Melemah ke Rp 15.636;0
Pekan Ini Semua Mata Tertuju ke Prabowo-Gibran;1
Awal Pekan IHSG dan Bursa Asia Kompak Menguat;0
Gig Economy, Pisau Bermata Dua di Dunia Kerja;1
Kucurkan Kredit UMKM Rp 1.095,64 Triliun, Dirut BRI: Dukung Ekonomi Nasional;1
Bos OJK Blak-blakan Kondisi Perbankan RI di Tengah Gejolak Geopolitik;0
Prediksi Sri Mulyani Ekonomi RI Tetap Tumbuh 5% Meski Dunia Gonjang-ganjing;2
Adu Laba Big Bank September 2024 : Laba BRI Paling Jumbo!;1
Aset Bank Mandiri Naik 11,6%, Total Mencapai Rp 2.427 Triliun;2
Pemerintah Naikkan Target Kredit Usaha Rakyat 2025 Jadi Rp 300 Triliun;2
Konflik di Timur Tengah Memanas, Ekonomi RI Bakal Terdampak?;0
Sejarah Baru, LPS Sehatkan Bank Sakit;1
Video: Tarif Impor Trump Bikin Rupiah Anjlok, Dolar Tembus Rp16.400-an;0
Dipicu Tarif Impor Trump, Dolar Tembus Rp 16.400!;2
Selamat Pak Prabowo! Inflasi RI Terjaga & Manufaktur Ekspansif;2
Ini Negara dengan Rata-rata Gaji Tertinggi dan Terendah 2024, RI ke Berapa?;1
Bank Jatim dan Bank Sultra Teken MoU soal Rencana Kerja Sama Bisnis-KUB;1
Usai Ambruk, Tiga Saham Konglomerat Berpeluang Balik Arah Hari Ini;1
Antisipasi Depresiasi Rupiah Bagi Ketahanan Finansial BUMN;1
Dolar AS Menguat Lagi, Rupiah Terkapar;2
Badai PHK Hantam 2.650 Pekerja di Jabar, Pengusaha Buka Suara;1
Heboh Dolar Anjlok ke Rp8.170 di Google, Segini Nilai Aslinya;0
